trxID,amount,type,transactionTime
1b451632-1ad0-472c-93ed-2d09ed100aad,5000000.00,DEBIT,2025-04-10 10:33:40
6ca3d47d-972c-4cb3-a2b5-f5ba2e7f95fb,7500000.00,CREDIT,2025-04-14 11:21:01
e47c7543-1ff0-40e0-88d2-54c675a970bb,150000.00,CREDIT,2025-04-24 4:02:57
15bc81f3-817e-4f39-bc0f-430e822b72ec,750000.00,CREDIT,2025-04-01 14:40:37
02b77c15-58b0-4fdf-97da-ba8c9321c4f4,250359.00,DEBIT,2025-04-04 22:54:44
634be58b-a28f-47ae-8298-9d60a712226f,750000.00,CREDIT,2025-04-07 23:42:06
d3106f61-0a4e-4cec-8a47-83bee3e95f2e,500000.00,CREDIT,2025-04-07 19:11:52
c7959b80-40b5-4d42-9140-138495913624,2000302.00,CREDIT,2025-04-11 13:38:49
e2d5cf74-b5c3-4e29-8e10-f85448ce6434,100000.00,DEBIT,2025-04-30 15:37:59
f9011b54-bb19-44d2-8ae6-5a50fe1d1206,1000000.00,DEBIT,2025-04-30 10:11:08
ae68e3f7-d1ad-4753-80af-35cb1130c140,100000000.00,CREDIT,2025-04-11 21:34:34
f35def50-71cb-41a7-b8a3-014db901a11d,50000.00,CREDIT,2025-04-25 9:13:11
88c65e8f-8145-43d3-9428-e8bedae6e32a,150000.00,DEBIT,2025-04-25 18:03:16
8525bc64-59de-4167-87ae-71c9b7033d6b,100000.00,DEBIT,2025-04-03 23:58:06
5e66df22-dcb5-415e-acc9-ffca586a419b,200000.00,CREDIT,2025-04-19 11:18:19
b862b237-2855-48b1-a084-947e66690e11,50000000.00,CREDIT,2025-04-17 5:19:18
b3c847de-7241-4f79-b2b6-f77792cdb837,2500000.00,CREDIT,2025-04-14 3:12:45
fa12dc57-7753-4535-b875-570dbd2f2f57,50000000.00,CREDIT,2025-04-29 8:35:31
3977330f-d8d3-461c-beea-caf83e4d30a3,150000.00,DEBIT,2025-04-10 13:52:10
ded13fd9-f171-41c8-8531-e0da4b768c88,250629.00,DEBIT,2025-04-06 7:48:33
a5dfa387-7ced-4c40-85d3-cd2251935001,75000.00,DEBIT,2025-04-22 1:59:54
d901e7e9-43a4-4d1c-8e29-0449075af340,1500000.00,CREDIT,2025-04-17 19:20:46
ce6b5e5d-4c9f-44ca-985b-d1694bbf592c,1500000.00,DEBIT,2025-04-20 23:03:03
b4be23d4-e428-49bf-a363-5abbd5ea5fb6,10000000.00,DEBIT,2025-04-03 7:01:55
db8cb458-3ba0-496c-91d3-c1005b1c9387,300000.00,CREDIT,2025-04-16 13:02:25
15bafd26-af45-4a5a-8b9a-c2e801dea885,20000.00,DEBIT,2025-04-29 19:55:47
81906d6a-7a5a-4a2c-94ae-d1ffccadbc18,1000535.00,CREDIT,2025-04-03 13:29:54
8bb6e160-826d-4a35-b106-64831e06e64a,100000.00,DEBIT,2025-04-13 16:47:41
424fcc77-02c0-4685-ae7f-59ff3ca40321,1500000.00,DEBIT,2025-04-18 15:10:43
e1f06d99-af06-466b-8ae7-25b026663309,150000.00,CREDIT,2025-04-06 6:58:26
012cfba8-f659-4ff9-b865-edb96ec63025,500000.00,CREDIT,2025-04-25 12:30:48
0bc724cb-cd76-493a-ba4d-5d2e1ceae6fe,75000.00,CREDIT,2025-04-21 15:55:36
db7d8d52-4a82-4cab-a1eb-a3d661d0290b,2000354.00,CREDIT,2025-04-22 10:08:14
c0aec8c3-c8ea-4a95-be16-d9789ce2615c,250000.00,DEBIT,2025-04-15 17:13:22
f67a1e2f-17fe-4fad-baae-5786eed7189b,1500000.00,CREDIT,2025-04-04 23:18:53
a588f134-eafa-447c-8e51-9ccdb8ff3a21,2500000.00,CREDIT,2025-04-02 6:28:58
3a8a11e0-4222-4ee3-838b-35afbd4e065f,5000000.00,DEBIT,2025-04-21 18:15:09
3688b3b5-9ea8-44dd-bf38-472cf7e712ab,5000000.00,CREDIT,2025-04-12 5:45:44
4ce95b92-cf3e-4ecb-89f0-e6140a13b194,1000000.00,CREDIT,2025-04-25 1:37:46
f33d8301-d5f2-42aa-9aba-4f8a8216b439,100000.00,CREDIT,2025-04-26 17:24:10
104b6909-423e-4012-9fa4-f115978dbfca,200000.00,DEBIT,2025-04-21 22:43:10
52c69bb4-4bc7-4c50-9008-7c8a6c80f243,1000000.00,DEBIT,2025-04-12 3:14:40
7e6a32f3-e00c-46f1-8282-28f53fb7ade6,50505.00,DEBIT,2025-04-07 23:47:19
90febc30-d2ff-43c6-bd0c-2d650cbaf372,300000.00,DEBIT,2025-04-05 11:15:26
4ed1929d-48f4-43d6-a285-9e8145dc22cd,10000.00,CREDIT,2025-04-09 23:44:54
eff2a573-3c95-41fe-a270-e1868cdb6d1e,10000071.00,CREDIT,2025-04-15 17:18:42
732d9f66-4a9b-45e6-a15d-6bcfe2db4c28,75000.00,CREDIT,2025-04-05 19:23:38
3437d1be-e359-4ed8-ba54-e55b8c36dfd2,100010.00,CREDIT,2025-04-20 17:34:56
429b0b16-e39f-4184-a64b-2754de5a73db,1500000.00,CREDIT,2025-04-01 4:17:28
44df3d3d-5a20-48c9-ad48-6a6dffc193f1,250000.00,DEBIT,2025-04-06 14:49:22
f86164a1-294c-4c5d-ad21-10f659712661,150000.00,DEBIT,2025-04-24 20:06:39
3cd0018b-a8fd-4729-afee-5fe63f16b101,5000000.00,DEBIT,2025-04-10 12:43:09
e8ba2107-d58c-4fcf-8783-df955803a4e6,200000.00,DEBIT,2025-04-06 22:39:42
52b00566-205b-42e7-9a99-d2065154d348,20000.00,DEBIT,2025-04-12 5:53:03
b4bed0c6-1e51-4c29-9d30-f8220fcbb0c5,10000000.00,CREDIT,2025-04-18 3:49:51
2764fd26-d6cc-468b-b2eb-fbc3dcd1d579,10000.00,CREDIT,2025-04-13 0:39:55
9be11b04-14ec-4f8e-89df-dfe533c8a9a6,150000.00,CREDIT,2025-04-23 9:54:16
e7dc2894-f365-4587-8158-2579be970d11,20000.00,CREDIT,2025-04-13 22:31:14
c64357b7-e4b2-4a44-ba00-ffae430c3e7f,750000.00,CREDIT,2025-04-04 4:37:15
ab8deff3-2f5f-4f63-beb3-f349707e61e7,50000000.00,DEBIT,2025-04-04 10:57:31
7fab9ffd-eba0-42c2-956f-82673c7e74f6,7500000.00,DEBIT,2025-04-06 15:27:21
10e3b22a-de85-41e3-9617-a3c62c665634,15000000.00,DEBIT,2025-04-06 10:55:51
